ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31604,31604.TXT,0.58648,0.14188,0.22848,3

ROUGE-1+StopWordRemoval,FNS31604,31604.TXT,0.56794,0.06637,0.11885,3

ROUGE-2+StopWordRemoval,FNS31604,31604.TXT,0.22455,0.02424,0.04376,3

ROUGE-SU4+StopWordRemoval,FNS31604,31604.TXT,0.32705,0.03337,0.06056,3

ROUGE-L+StopWordRemoval,FNS32936,32936.TXT,0.45407,0.22439,0.30035,4

ROUGE-1+StopWordRemoval,FNS32936,32936.TXT,0.51231,0.17634,0.26237,4

ROUGE-2+StopWordRemoval,FNS32936,32936.TXT,0.23259,0.06808,0.10533,4

ROUGE-SU4+StopWordRemoval,FNS32936,32936.TXT,0.32088,0.09275,0.14391,4

ROUGE-L+StopWordRemoval,FNS31969,31969.TXT,0.55382,0.23944,0.33433,3

ROUGE-1+StopWordRemoval,FNS31969,31969.TXT,0.71091,0.14443,0.24008,3

ROUGE-2+StopWordRemoval,FNS31969,31969.TXT,0.29620,0.05852,0.09772,3

ROUGE-SU4+StopWordRemoval,FNS31969,31969.TXT,0.40095,0.08229,0.13655,3

ROUGE-L+StopWordRemoval,FNS32939,32939.TXT,0.58946,0.19004,0.28742,3

ROUGE-1+StopWordRemoval,FNS32939,32939.TXT,0.47139,0.13038,0.20426,3

ROUGE-2+StopWordRemoval,FNS32939,32939.TXT,0.20505,0.04987,0.08023,3

ROUGE-SU4+StopWordRemoval,FNS32939,32939.TXT,0.30387,0.06861,0.11195,3

ROUGE-L+StopWordRemoval,FNS31608,31608.TXT,0.57766,0.20838,0.30628,4

ROUGE-1+StopWordRemoval,FNS31608,31608.TXT,0.56380,0.14930,0.23608,4

ROUGE-2+StopWordRemoval,FNS31608,31608.TXT,0.21034,0.05003,0.08083,4

ROUGE-SU4+StopWordRemoval,FNS31608,31608.TXT,0.31844,0.07339,0.11929,4

ROUGE-L+StopWordRemoval,FNS32025,32025.TXT,0.55674,0.16658,0.25643,4

ROUGE-1+StopWordRemoval,FNS32025,32025.TXT,0.58182,0.09688,0.16610,4

ROUGE-2+StopWordRemoval,FNS32025,32025.TXT,0.24525,0.03894,0.06721,4

ROUGE-SU4+StopWordRemoval,FNS32025,32025.TXT,0.34088,0.05283,0.09149,4

ROUGE-L+StopWordRemoval,FNS31970,31970.TXT,0.48624,0.30080,0.37168,3

ROUGE-1+StopWordRemoval,FNS31970,31970.TXT,0.53853,0.23724,0.32938,3

ROUGE-2+StopWordRemoval,FNS31970,31970.TXT,0.20580,0.08823,0.12351,3

ROUGE-SU4+StopWordRemoval,FNS31970,31970.TXT,0.30611,0.12950,0.18200,3

ROUGE-L+StopWordRemoval,FNS31058,31058.TXT,0.51777,0.33520,0.40695,4

ROUGE-1+StopWordRemoval,FNS31058,31058.TXT,0.58655,0.26868,0.36854,4

ROUGE-2+StopWordRemoval,FNS31058,31058.TXT,0.36767,0.11726,0.17781,4

ROUGE-SU4+StopWordRemoval,FNS31058,31058.TXT,0.42637,0.15666,0.22913,4

ROUGE-L+StopWordRemoval,FNS31850,31850.TXT,0.58402,0.16306,0.25495,4

ROUGE-1+StopWordRemoval,FNS31850,31850.TXT,0.61502,0.12084,0.20200,4

ROUGE-2+StopWordRemoval,FNS31850,31850.TXT,0.22914,0.04085,0.06933,4

ROUGE-SU4+StopWordRemoval,FNS31850,31850.TXT,0.35217,0.06132,0.10446,4

ROUGE-L+StopWordRemoval,FNS32389,32389.TXT,0.58803,0.19764,0.29585,3

ROUGE-1+StopWordRemoval,FNS32389,32389.TXT,0.66945,0.13742,0.22804,3

ROUGE-2+StopWordRemoval,FNS32389,32389.TXT,0.26292,0.04798,0.08116,3

ROUGE-SU4+StopWordRemoval,FNS32389,32389.TXT,0.40424,0.06988,0.11916,3

ROUGE-L+StopWordRemoval,FNS32148,32148.TXT,0.39051,0.26316,0.31443,3

ROUGE-1+StopWordRemoval,FNS32148,32148.TXT,0.51224,0.20161,0.28934,3

ROUGE-2+StopWordRemoval,FNS32148,32148.TXT,0.13637,0.05147,0.07473,3

ROUGE-SU4+StopWordRemoval,FNS32148,32148.TXT,0.26118,0.09572,0.14010,3

ROUGE-L+StopWordRemoval,FNS31851,31851.TXT,0.55898,0.21074,0.30608,4

ROUGE-1+StopWordRemoval,FNS31851,31851.TXT,0.64621,0.13445,0.22259,4

ROUGE-2+StopWordRemoval,FNS31851,31851.TXT,0.38205,0.05410,0.09478,4

ROUGE-SU4+StopWordRemoval,FNS31851,31851.TXT,0.45388,0.07652,0.13096,4

ROUGE-L+StopWordRemoval,FNS31059,31059.TXT,0.53885,0.18765,0.27836,4

ROUGE-1+StopWordRemoval,FNS31059,31059.TXT,0.61721,0.10902,0.18531,4

ROUGE-2+StopWordRemoval,FNS31059,31059.TXT,0.27135,0.04495,0.07713,4

ROUGE-SU4+StopWordRemoval,FNS31059,31059.TXT,0.38000,0.05642,0.09825,4

ROUGE-L+StopWordRemoval,FNS31610,31610.TXT,0.47299,0.29530,0.36360,3

ROUGE-1+StopWordRemoval,FNS31610,31610.TXT,0.56080,0.20807,0.30352,3

ROUGE-2+StopWordRemoval,FNS31610,31610.TXT,0.19730,0.07017,0.10352,3

ROUGE-SU4+StopWordRemoval,FNS31610,31610.TXT,0.30575,0.10573,0.15713,3

ROUGE-L+StopWordRemoval,FNS32149,32149.TXT,0.52618,0.26481,0.35231,4

ROUGE-1+StopWordRemoval,FNS32149,32149.TXT,0.48452,0.19106,0.27405,4

ROUGE-2+StopWordRemoval,FNS32149,32149.TXT,0.17616,0.07081,0.10102,4

ROUGE-SU4+StopWordRemoval,FNS32149,32149.TXT,0.26331,0.10088,0.14588,4

ROUGE-L+StopWordRemoval,FNS31854,31854.TXT,0.61322,0.17362,0.27062,3

ROUGE-1+StopWordRemoval,FNS31854,31854.TXT,0.64766,0.12447,0.20881,3

ROUGE-2+StopWordRemoval,FNS31854,31854.TXT,0.22785,0.03828,0.06554,3

ROUGE-SU4+StopWordRemoval,FNS31854,31854.TXT,0.34915,0.05937,0.10149,3

