ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS31383,31383.TXT,0.29201,0.09271,0.14074,4

ROUGE-L+StopWordRemoval,FNS31022,31022.TXT,0.49771,0.32079,0.39013,3

ROUGE-1+StopWordRemoval,FNS31022,31022.TXT,0.54642,0.27121,0.36249,3

ROUGE-2+StopWordRemoval,FNS31022,31022.TXT,0.18915,0.09047,0.12240,3

ROUGE-SU4+StopWordRemoval,FNS31022,31022.TXT,0.28713,0.14556,0.19319,3

ROUGE-L+StopWordRemoval,FNS30858,30858.TXT,0.61131,0.21361,0.31659,4

ROUGE-1+StopWordRemoval,FNS30858,30858.TXT,0.63946,0.21494,0.32173,4

ROUGE-2+StopWordRemoval,FNS30858,30858.TXT,0.25983,0.08153,0.12412,4

ROUGE-SU4+StopWordRemoval,FNS30858,30858.TXT,0.37728,0.11656,0.17809,4

ROUGE-L+StopWordRemoval,FNS30856,30856.TXT,0.52212,0.28866,0.37178,3

ROUGE-1+StopWordRemoval,FNS30856,30856.TXT,0.62007,0.26062,0.36699,3

ROUGE-2+StopWordRemoval,FNS30856,30856.TXT,0.25151,0.10478,0.14793,3

ROUGE-SU4+StopWordRemoval,FNS30856,30856.TXT,0.34786,0.15237,0.21191,3

ROUGE-L+StopWordRemoval,FNS30855,30855.TXT,0.50594,0.27358,0.35513,3

ROUGE-1+StopWordRemoval,FNS30855,30855.TXT,0.56708,0.19573,0.29101,3

ROUGE-2+StopWordRemoval,FNS30855,30855.TXT,0.18131,0.06053,0.09076,3

ROUGE-SU4+StopWordRemoval,FNS30855,30855.TXT,0.29384,0.09815,0.14714,3

ROUGE-L+StopWordRemoval,FNS31824,31824.TXT,0.52631,0.16542,0.25172,3

ROUGE-1+StopWordRemoval,FNS31824,31824.TXT,0.54097,0.10436,0.17497,3

ROUGE-2+StopWordRemoval,FNS31824,31824.TXT,0.19902,0.03438,0.05863,3

ROUGE-SU4+StopWordRemoval,FNS31824,31824.TXT,0.29135,0.05224,0.08859,3

ROUGE-L+StopWordRemoval,FNS31705,31705.TXT,0.52259,0.16098,0.24614,4

ROUGE-1+StopWordRemoval,FNS31705,31705.TXT,0.57477,0.11634,0.19351,4

ROUGE-2+StopWordRemoval,FNS31705,31705.TXT,0.24148,0.04167,0.07107,4

ROUGE-SU4+StopWordRemoval,FNS31705,31705.TXT,0.36046,0.06479,0.10983,4

ROUGE-L+StopWordRemoval,FNS31948,31948.TXT,0.52413,0.23934,0.32862,3

ROUGE-1+StopWordRemoval,FNS31948,31948.TXT,0.60198,0.16331,0.25692,3

ROUGE-2+StopWordRemoval,FNS31948,31948.TXT,0.20911,0.05548,0.08769,3

ROUGE-SU4+StopWordRemoval,FNS31948,31948.TXT,0.33074,0.08546,0.13582,3

ROUGE-L+StopWordRemoval,FNS31828,31828.TXT,0.54362,0.19746,0.28970,3

ROUGE-1+StopWordRemoval,FNS31828,31828.TXT,0.56622,0.15786,0.24689,3

ROUGE-2+StopWordRemoval,FNS31828,31828.TXT,0.20390,0.05174,0.08253,3

ROUGE-SU4+StopWordRemoval,FNS31828,31828.TXT,0.31013,0.08316,0.13115,3

ROUGE-L+StopWordRemoval,FNS31034,31034.TXT,0.56155,0.25033,0.34629,3

ROUGE-1+StopWordRemoval,FNS31034,31034.TXT,0.63433,0.18541,0.28695,3

ROUGE-2+StopWordRemoval,FNS31034,31034.TXT,0.24715,0.07112,0.11046,3

ROUGE-SU4+StopWordRemoval,FNS31034,31034.TXT,0.35412,0.10091,0.15706,3

ROUGE-L+StopWordRemoval,FNS31277,31277.TXT,0.52477,0.25080,0.33940,3

ROUGE-1+StopWordRemoval,FNS31277,31277.TXT,0.68621,0.15572,0.25384,3

ROUGE-2+StopWordRemoval,FNS31277,31277.TXT,0.30444,0.06396,0.10571,3

ROUGE-SU4+StopWordRemoval,FNS31277,31277.TXT,0.42744,0.08297,0.13897,3

ROUGE-L+StopWordRemoval,FNS32004,32004.TXT,0.59811,0.20178,0.30176,4

ROUGE-1+StopWordRemoval,FNS32004,32004.TXT,0.48796,0.17187,0.25420,4

ROUGE-2+StopWordRemoval,FNS32004,32004.TXT,0.21888,0.06820,0.10400,4

ROUGE-SU4+StopWordRemoval,FNS32004,32004.TXT,0.28796,0.09360,0.14128,4

ROUGE-L+StopWordRemoval,FNS31399,31399.TXT,0.50035,0.24765,0.33131,3

ROUGE-1+StopWordRemoval,FNS31399,31399.TXT,0.61332,0.19848,0.29991,3

ROUGE-2+StopWordRemoval,FNS31399,31399.TXT,0.29043,0.07927,0.12455,3

ROUGE-SU4+StopWordRemoval,FNS31399,31399.TXT,0.42208,0.10891,0.17315,3

ROUGE-L+StopWordRemoval,FNS31036,31036.TXT,0.39393,0.31990,0.35307,3

ROUGE-1+StopWordRemoval,FNS31036,31036.TXT,0.49102,0.19164,0.27569,3

ROUGE-2+StopWordRemoval,FNS31036,31036.TXT,0.16728,0.06709,0.09577,3

ROUGE-SU4+StopWordRemoval,FNS31036,31036.TXT,0.27886,0.10054,0.14780,3

ROUGE-L+StopWordRemoval,FNS31037,31037.TXT,0.44605,0.14855,0.22288,4

ROUGE-1+StopWordRemoval,FNS31037,31037.TXT,0.48194,0.09259,0.15534,4

ROUGE-2+StopWordRemoval,FNS31037,31037.TXT,0.16623,0.02879,0.04908,4

ROUGE-SU4+StopWordRemoval,FNS31037,31037.TXT,0.26283,0.04638,0.07885,4

ROUGE-L+StopWordRemoval,FNS31950,31950.TXT,0.53296,0.18412,0.27369,5

ROUGE-1+StopWordRemoval,FNS31950,31950.TXT,0.60536,0.14354,0.23205,5

ROUGE-2+StopWordRemoval,FNS31950,31950.TXT,0.26423,0.06333,0.10218,5

ROUGE-SU4+StopWordRemoval,FNS31950,31950.TXT,0.36099,0.08291,0.13485,5

ROUGE-L+StopWordRemoval,FNS30982,30982.TXT,0.53625,0.18338,0.27330,3

ROUGE-1+StopWordRemoval,FNS30982,30982.TXT,0.57864,0.10437,0.17685,3

ROUGE-2+StopWordRemoval,FNS30982,30982.TXT,0.17901,0.03244,0.05492,3

ROUGE-SU4+StopWordRemoval,FNS30982,30982.TXT,0.29079,0.05290,0.08951,3

ROUGE-L+StopWordRemoval,FNS32248,32248.TXT,0.33978,0.11035,0.16660,3

ROUGE-1+StopWordRemoval,FNS32248,32248.TXT,0.65800,0.15735,0.25396,3

ROUGE-2+StopWordRemoval,FNS32248,32248.TXT,0.49512,0.12182,0.19553,3

ROUGE-SU4+StopWordRemoval,FNS32248,32248.TXT,0.54973,0.13346,0.21478,3

ROUGE-L+StopWordRemoval,FNS31038,31038.TXT,0.58177,0.18756,0.28366,4

ROUGE-1+StopWordRemoval,FNS31038,31038.TXT,0.59037,0.12585,0.20748,4

ROUGE-2+StopWordRemoval,FNS31038,31038.TXT,0.31007,0.07272,0.11781,4

ROUGE-SU4+StopWordRemoval,FNS31038,31038.TXT,0.39663,0.08707,0.14280,4

ROUGE-L+StopWordRemoval,FNS31831,31831.TXT,0.46051,0.24382,0.31883,4

ROUGE-1+StopWordRemoval,FNS31831,31831.TXT,0.53517,0.17650,0.26546,4

ROUGE-2+StopWordRemoval,FNS31831,31831.TXT,0.23022,0.07186,0.10954,4

ROUGE-SU4+StopWordRemoval,FNS31831,31831.TXT,0.31525,0.09935,0.15109,4

ROUGE-L+StopWordRemoval,FNS32129,32129.TXT,0.47724,0.21546,0.29689,4

ROUGE-1+StopWordRemoval,FNS32129,32129.TXT,0.44418,0.18118,0.25738,4

ROUGE-2+StopWordRemoval,FNS32129,32129.TXT,0.15093,0.05672,0.08245,4

ROUGE-SU4+StopWordRemoval,FNS32129,32129.TXT,0.25431,0.08745,0.13015,4

ROUGE-L+StopWordRemoval,FNS32480,32480.TXT,0.50823,0.14246,0.22254,4

ROUGE-1+StopWordRemoval,FNS32480,32480.TXT,0.56520,0.06237,0.11234,4

ROUGE-2+StopWordRemoval,FNS32480,32480.TXT,0.18912,0.01955,0.03544,4

ROUGE-SU4+StopWordRemoval,FNS32480,32480.TXT,0.30386,0.03107,0.05638,4

ROUGE-L+StopWordRemoval,FNS31271,31271.TXT,0.63648,0.24935,0.35833,3

ROUGE-1+StopWordRemoval,FNS31271,31271.TXT,0.70384,0.15940,0.25993,3

ROUGE-2+StopWordRemoval,FNS31271,31271.TXT,0.35743,0.07590,0.12521,3

ROUGE-SU4+StopWordRemoval,FNS31271,31271.TXT,0.43557,0.09523,0.15629,3

ROUGE-L+StopWordRemoval,FNS32482,32482.TXT,0.57180,0.17207,0.26453,3

ROUGE-1+StopWordRemoval,FNS32482,32482.TXT,0.66044,0.10368,0.17922,3

ROUGE-2+StopWordRemoval,FNS32482,32482.TXT,0.27591,0.04185,0.07268,3

ROUGE-SU4+StopWordRemoval,FNS32482,32482.TXT,0.36242,0.06112,0.10461,3

ROUGE-L+StopWordRemoval,FNS31031,31031.TXT,0.44790,0.24572,0.31735,5

ROUGE-1+StopWordRemoval,FNS31031,31031.TXT,0.54121,0.22203,0.31488,5

ROUGE-2+StopWordRemoval,FNS31031,31031.TXT,0.21197,0.09044,0.12679,5

ROUGE-SU4+StopWordRemoval,FNS31031,31031.TXT,0.30992,0.13860,0.19154,5

ROUGE-L+StopWordRemoval,FNS31274,31274.TXT,0.55491,0.19323,0.28664,3

ROUGE-1+StopWordRemoval,FNS31274,31274.TXT,0.70256,0.14159,0.23569,3

ROUGE-2+StopWordRemoval,FNS31274,31274.TXT,0.26587,0.05269,0.08794,3

ROUGE-SU4+StopWordRemoval,FNS31274,31274.TXT,0.38454,0.07770,0.12928,3

ROUGE-L+StopWordRemoval,FNS31033,31033.TXT,0.50326,0.25870,0.34173,3

ROUGE-1+StopWordRemoval,FNS31033,31033.TXT,0.59335,0.22243,0.32357,3

ROUGE-2+StopWordRemoval,FNS31033,31033.TXT,0.17141,0.05856,0.08729,3

ROUGE-SU4+StopWordRemoval,FNS31033,31033.TXT,0.32624,0.10289,0.15644,3

ROUGE-L+StopWordRemoval,FNS30866,30866.TXT,0.57859,0.24866,0.34783,4

ROUGE-1+StopWordRemoval,FNS30866,30866.TXT,0.57034,0.19849,0.29449,4

ROUGE-2+StopWordRemoval,FNS30866,30866.TXT,0.21784,0.07687,0.11364,4

ROUGE-SU4+StopWordRemoval,FNS30866,30866.TXT,0.32552,0.10863,0.16290,4

ROUGE-L+StopWordRemoval,FNS31955,31955.TXT,0.45677,0.25955,0.33101,3

ROUGE-1+StopWordRemoval,FNS31955,31955.TXT,0.55378,0.11553,0.19118,3

ROUGE-2+StopWordRemoval,FNS31955,31955.TXT,0.19094,0.03490,0.05901,3

ROUGE-SU4+StopWordRemoval,FNS31955,31955.TXT,0.30520,0.05417,0.09200,3

ROUGE-L+StopWordRemoval,FNS31834,31834.TXT,0.56922,0.15917,0.24877,3

ROUGE-1+StopWordRemoval,FNS31834,31834.TXT,0.60994,0.11969,0.20012,3

ROUGE-2+StopWordRemoval,FNS31834,31834.TXT,0.19857,0.03756,0.06317,3

ROUGE-SU4+StopWordRemoval,FNS31834,31834.TXT,0.32853,0.06325,0.10608,3

ROUGE-L+StopWordRemoval,FNS32926,32926.TXT,0.54511,0.15638,0.24304,3

ROUGE-1+StopWordRemoval,FNS32926,32926.TXT,0.56169,0.12330,0.20221,3

ROUGE-2+StopWordRemoval,FNS32926,32926.TXT,0.22998,0.04401,0.07388,3

ROUGE-SU4+StopWordRemoval,FNS32926,32926.TXT,0.35740,0.06395,0.10849,3

ROUGE-L+StopWordRemoval,FNS31959,31959.TXT,0.65620,0.17592,0.27745,4

ROUGE-1+StopWordRemoval,FNS31959,31959.TXT,0.73280,0.09202,0.16352,4

ROUGE-2+StopWordRemoval,FNS31959,31959.TXT,0.44032,0.05188,0.09282,4

ROUGE-SU4+StopWordRemoval,FNS31959,31959.TXT,0.52685,0.05913,0.10633,4

ROUGE-L+StopWordRemoval,FNS31839,31839.TXT,0.42535,0.26330,0.32526,3

ROUGE-1+StopWordRemoval,FNS31839,31839.TXT,0.58611,0.18882,0.28563,3

ROUGE-2+StopWordRemoval,FNS31839,31839.TXT,0.18748,0.05434,0.08426,3

ROUGE-SU4+StopWordRemoval,FNS31839,31839.TXT,0.34973,0.09500,0.14941,3

ROUGE-L+StopWordRemoval,FNS32809,32809.TXT,0.47192,0.30594,0.37122,3

ROUGE-1+StopWordRemoval,FNS32809,32809.TXT,0.59964,0.30270,0.40231,3

ROUGE-2+StopWordRemoval,FNS32809,32809.TXT,0.27679,0.13181,0.17858,3

ROUGE-SU4+StopWordRemoval,FNS32809,32809.TXT,0.36809,0.18186,0.24345,3

ROUGE-L+StopWordRemoval,FNS32333,32333.TXT,0.55523,0.11482,0.19029,3

ROUGE-1+StopWordRemoval,FNS32333,32333.TXT,0.49259,0.04921,0.08948,3

ROUGE-2+StopWordRemoval,FNS32333,32333.TXT,0.18765,0.01825,0.03326,3

ROUGE-SU4+StopWordRemoval,FNS32333,32333.TXT,0.27561,0.02471,0.04535,3

ROUGE-L+StopWordRemoval,FNS30950,30950.TXT,0.56395,0.18443,0.27796,3

ROUGE-1+StopWordRemoval,FNS30950,30950.TXT,0.58402,0.13181,0.21508,3

ROUGE-2+StopWordRemoval,FNS30950,30950.TXT,0.24254,0.05107,0.08438,3

ROUGE-SU4+StopWordRemoval,FNS30950,30950.TXT,0.32581,0.07476,0.12162,3

ROUGE-L+StopWordRemoval,FNS31005,31005.TXT,0.52461,0.22128,0.31126,5

ROUGE-1+StopWordRemoval,FNS31005,31005.TXT,0.53085,0.16852,0.25583,5

ROUGE-2+StopWordRemoval,FNS31005,31005.TXT,0.18139,0.05616,0.08577,5

ROUGE-SU4+StopWordRemoval,FNS31005,31005.TXT,0.27632,0.08805,0.13354,5

ROUGE-L+StopWordRemoval,FNS31127,31127.TXT,0.78359,0.18073,0.29371,3

ROUGE-1+StopWordRemoval,FNS31127,31127.TXT,0.79586,0.10794,0.19010,3

ROUGE-2+StopWordRemoval,FNS31127,31127.TXT,0.53953,0.06641,0.11827,3

ROUGE-SU4+StopWordRemoval,FNS31127,31127.TXT,0.59249,0.07071,0.12634,3

ROUGE-L+StopWordRemoval,FNS32217,32217.TXT,0.70481,0.19466,0.30507,4

ROUGE-1+StopWordRemoval,FNS32217,32217.TXT,0.69425,0.11945,0.20383,4

ROUGE-2+StopWordRemoval,FNS32217,32217.TXT,0.39875,0.07490,0.12611,4

ROUGE-SU4+StopWordRemoval,FNS32217,32217.TXT,0.49515,0.08338,0.14273,4

ROUGE-L+StopWordRemoval,FNS31007,31007.TXT,0.50692,0.27778,0.35889,3

ROUGE-1+StopWordRemoval,FNS31007,31007.TXT,0.53375,0.20903,0.30041,3

ROUGE-2+StopWordRemoval,FNS31007,31007.TXT,0.17734,0.06681,0.09706,3

ROUGE-SU4+StopWordRemoval,FNS31007,31007.TXT,0.27556,0.10793,0.15510,3

ROUGE-L+StopWordRemoval,FNS30952,30952.TXT,0.47428,0.12392,0.19650,4

ROUGE-1+StopWordRemoval,FNS30952,30952.TXT,0.49796,0.07542,0.13100,4

ROUGE-2+StopWordRemoval,FNS30952,30952.TXT,0.14841,0.02102,0.03682,4

ROUGE-SU4+StopWordRemoval,FNS30952,30952.TXT,0.25527,0.03525,0.06195,4

ROUGE-L+StopWordRemoval,FNS31008,31008.TXT,0.47864,0.31968,0.38333,3

ROUGE-1+StopWordRemoval,FNS31008,31008.TXT,0.59686,0.23591,0.33816,3

ROUGE-2+StopWordRemoval,FNS31008,31008.TXT,0.20607,0.08239,0.11771,3

ROUGE-SU4+StopWordRemoval,FNS31008,31008.TXT,0.30918,0.12847,0.18152,3

ROUGE-L+StopWordRemoval,FNS30830,30830.TXT,0.53232,0.14269,0.22506,4

ROUGE-1+StopWordRemoval,FNS30830,30830.TXT,0.58251,0.09452,0.16265,4

ROUGE-2+StopWordRemoval,FNS30830,30830.TXT,0.22441,0.03723,0.06386,4

ROUGE-SU4+StopWordRemoval,FNS30830,30830.TXT,0.32888,0.05268,0.09081,4

ROUGE-L+StopWordRemoval,FNS32693,32693.TXT,0.48758,0.18619,0.26948,5

ROUGE-1+StopWordRemoval,FNS32693,32693.TXT,0.53414,0.10839,0.18021,5

ROUGE-2+StopWordRemoval,FNS32693,32693.TXT,0.16827,0.03174,0.05340,5

ROUGE-SU4+StopWordRemoval,FNS32693,32693.TXT,0.28952,0.05063,0.08619,5

ROUGE-L+StopWordRemoval,FNS31363,31363.TXT,0.47157,0.26780,0.34161,3

ROUGE-1+StopWordRemoval,FNS31363,31363.TXT,0.52622,0.17695,0.26485,3

ROUGE-2+StopWordRemoval,FNS31363,31363.TXT,0.17367,0.05258,0.08072,3

ROUGE-SU4+StopWordRemoval,FNS31363,31363.TXT,0.27518,0.08602,0.13107,3

ROUGE-L+StopWordRemoval,FNS32452,32452.TXT,0.57602,0.22215,0.32064,4

ROUGE-1+StopWordRemoval,FNS32452,32452.TXT,0.65380,0.18097,0.28348,4

ROUGE-2+StopWordRemoval,FNS32452,32452.TXT,0.32270,0.07188,0.11757,4

ROUGE-SU4+StopWordRemoval,FNS32452,32452.TXT,0.40655,0.09853,0.15862,4

ROUGE-L+StopWordRemoval,FNS31484,31484.TXT,0.59601,0.21536,0.31639,4

ROUGE-1+StopWordRemoval,FNS31484,31484.TXT,0.61754,0.13883,0.22670,4

ROUGE-2+StopWordRemoval,FNS31484,31484.TXT,0.22382,0.04527,0.07530,4

ROUGE-SU4+StopWordRemoval,FNS31484,31484.TXT,0.32872,0.06902,0.11408,4

ROUGE-L+StopWordRemoval,FNS31242,31242.TXT,0.61448,0.22957,0.33426,3

ROUGE-1+StopWordRemoval,FNS31242,31242.TXT,0.61289,0.10539,0.17985,3

ROUGE-2+StopWordRemoval,FNS31242,31242.TXT,0.31816,0.04664,0.08136,3

ROUGE-SU4+StopWordRemoval,FNS31242,31242.TXT,0.40008,0.06259,0.10825,3

ROUGE-L+StopWordRemoval,FNS30838,30838.TXT,0.47358,0.21896,0.29946,3

ROUGE-1+StopWordRemoval,FNS30838,30838.TXT,0.60780,0.13752,0.22429,3

ROUGE-2+StopWordRemoval,FNS30838,30838.TXT,0.23432,0.04876,0.08072,3

ROUGE-SU4+StopWordRemoval,FNS30838,30838.TXT,0.35071,0.07123,0.11841,3

ROUGE-L+StopWordRemoval,FNS30954,30954.TXT,0.50077,0.18938,0.27482,3

ROUGE-1+StopWordRemoval,FNS30954,30954.TXT,0.58914,0.10523,0.17856,3

ROUGE-2+StopWordRemoval,FNS30954,30954.TXT,0.19166,0.03255,0.05564,3

ROUGE-SU4+StopWordRemoval,FNS30954,30954.TXT,0.31708,0.04962,0.08581,3

ROUGE-L+StopWordRemoval,FNS31926,31926.TXT,0.48257,0.30187,0.37141,4

ROUGE-1+StopWordRemoval,FNS31926,31926.TXT,0.53426,0.20667,0.29804,4

ROUGE-2+StopWordRemoval,FNS31926,31926.TXT,0.19426,0.07063,0.10359,4

ROUGE-SU4+StopWordRemoval,FNS31926,31926.TXT,0.29408,0.11015,0.16027,4

ROUGE-L+StopWordRemoval,FNS31254,31254.TXT,0.49207,0.28074,0.35751,4

ROUGE-1+StopWordRemoval,FNS31254,31254.TXT,0.56969,0.18147,0.27526,4

ROUGE-2+StopWordRemoval,FNS31254,31254.TXT,0.21669,0.06384,0.09862,4

ROUGE-SU4+StopWordRemoval,FNS31254,31254.TXT,0.31872,0.09484,0.14618,4

ROUGE-L+StopWordRemoval,FNS31012,31012.TXT,0.48106,0.24798,0.32726,3

ROUGE-1+StopWordRemoval,FNS31012,31012.TXT,0.56698,0.15943,0.24888,3

ROUGE-2+StopWordRemoval,FNS31012,31012.TXT,0.25693,0.06508,0.10385,3

ROUGE-SU4+StopWordRemoval,FNS31012,31012.TXT,0.35216,0.08824,0.14113,3

ROUGE-L+StopWordRemoval,FNS32343,32343.TXT,0.49184,0.23379,0.31693,4

ROUGE-1+StopWordRemoval,FNS32343,32343.TXT,0.49686,0.17190,0.25543,4

ROUGE-2+StopWordRemoval,FNS32343,32343.TXT,0.17069,0.05276,0.08060,4

ROUGE-SU4+StopWordRemoval,FNS32343,32343.TXT,0.27733,0.08811,0.13373,4

ROUGE-L+StopWordRemoval,FNS31013,31013.TXT,0.51037,0.17116,0.25635,3

ROUGE-1+StopWordRemoval,FNS31013,31013.TXT,0.55116,0.10612,0.17798,3

ROUGE-2+StopWordRemoval,FNS31013,31013.TXT,0.21764,0.03553,0.06108,3

ROUGE-SU4+StopWordRemoval,FNS31013,31013.TXT,0.31096,0.05217,0.08934,3

ROUGE-L+StopWordRemoval,FNS32223,32223.TXT,0.48567,0.35461,0.40992,3

ROUGE-1+StopWordRemoval,FNS32223,32223.TXT,0.53883,0.25388,0.34514,3

ROUGE-2+StopWordRemoval,FNS32223,32223.TXT,0.18579,0.08453,0.11619,3

ROUGE-SU4+StopWordRemoval,FNS32223,32223.TXT,0.28660,0.13040,0.17924,3

ROUGE-L+StopWordRemoval,FNS32345,32345.TXT,0.36971,0.27583,0.31595,4

ROUGE-1+StopWordRemoval,FNS32345,32345.TXT,0.47176,0.16647,0.24610,4

ROUGE-2+StopWordRemoval,FNS32345,32345.TXT,0.11713,0.03933,0.05888,4

ROUGE-SU4+StopWordRemoval,FNS32345,32345.TXT,0.24057,0.07829,0.11814,4

ROUGE-L+StopWordRemoval,FNS31014,31014.TXT,0.50708,0.22303,0.30980,3

ROUGE-1+StopWordRemoval,FNS31014,31014.TXT,0.50971,0.12577,0.20176,3

ROUGE-2+StopWordRemoval,FNS31014,31014.TXT,0.19639,0.04569,0.07413,3

ROUGE-SU4+StopWordRemoval,FNS31014,31014.TXT,0.28370,0.06755,0.10912,3

ROUGE-L+StopWordRemoval,FNS31015,31015.TXT,0.52034,0.25513,0.34238,4

ROUGE-1+StopWordRemoval,FNS31015,31015.TXT,0.53750,0.13522,0.21608,4

ROUGE-2+StopWordRemoval,FNS31015,31015.TXT,0.20643,0.04838,0.07838,4

ROUGE-SU4+StopWordRemoval,FNS31015,31015.TXT,0.29411,0.06920,0.11204,4

ROUGE-L+StopWordRemoval,FNS30960,30960.TXT,0.56863,0.24802,0.34539,3

ROUGE-1+StopWordRemoval,FNS30960,30960.TXT,0.69343,0.14237,0.23623,3

ROUGE-2+StopWordRemoval,FNS30960,30960.TXT,0.34124,0.06604,0.11066,3

ROUGE-SU4+StopWordRemoval,FNS30960,30960.TXT,0.43762,0.08136,0.13720,3

ROUGE-L+StopWordRemoval,FNS30962,30962.TXT,0.71608,0.32447,0.44658,3

ROUGE-1+StopWordRemoval,FNS30962,30962.TXT,0.72051,0.28669,0.41017,3

ROUGE-2+StopWordRemoval,FNS30962,30962.TXT,0.52920,0.20412,0.29461,3

ROUGE-SU4+StopWordRemoval,FNS30962,30962.TXT,0.58318,0.22333,0.32298,3

ROUGE-L+StopWordRemoval,FNS32349,32349.TXT,0.59692,0.15766,0.24944,4

ROUGE-1+StopWordRemoval,FNS32349,32349.TXT,0.61946,0.08431,0.14842,4

ROUGE-2+StopWordRemoval,FNS32349,32349.TXT,0.27190,0.03298,0.05882,4

ROUGE-SU4+StopWordRemoval,FNS32349,32349.TXT,0.39456,0.04561,0.08176,4

ROUGE-L+StopWordRemoval,FNS32107,32107.TXT,0.46261,0.30009,0.36403,3

ROUGE-1+StopWordRemoval,FNS32107,32107.TXT,0.49369,0.24276,0.32548,3

ROUGE-2+StopWordRemoval,FNS32107,32107.TXT,0.17129,0.08100,0.10999,3

ROUGE-SU4+StopWordRemoval,FNS32107,32107.TXT,0.26540,0.12456,0.16954,3

ROUGE-L+StopWordRemoval,FNS32229,32229.TXT,0.57964,0.13086,0.21352,4

ROUGE-1+StopWordRemoval,FNS32229,32229.TXT,0.48404,0.07059,0.12322,4

ROUGE-2+StopWordRemoval,FNS32229,32229.TXT,0.18259,0.02235,0.03982,4

ROUGE-SU4+StopWordRemoval,FNS32229,32229.TXT,0.26966,0.03382,0.06010,4

ROUGE-L+StopWordRemoval,FNS31811,31811.TXT,0.44782,0.16226,0.23821,4

ROUGE-1+StopWordRemoval,FNS31811,31811.TXT,0.50816,0.11267,0.18445,4

ROUGE-2+StopWordRemoval,FNS31811,31811.TXT,0.19420,0.03870,0.06454,4

ROUGE-SU4+StopWordRemoval,FNS31811,31811.TXT,0.27983,0.05994,0.09873,4

ROUGE-L+StopWordRemoval,FNS30841,30841.TXT,0.49951,0.25064,0.33379,4

ROUGE-1+StopWordRemoval,FNS30841,30841.TXT,0.51742,0.20964,0.29838,4

ROUGE-2+StopWordRemoval,FNS30841,30841.TXT,0.16805,0.06314,0.09179,4

ROUGE-SU4+StopWordRemoval,FNS30841,30841.TXT,0.28176,0.10588,0.15392,4

ROUGE-L+StopWordRemoval,FNS31492,31492.TXT,0.62081,0.22065,0.32558,4

ROUGE-1+StopWordRemoval,FNS31492,31492.TXT,0.61705,0.18148,0.28047,4

ROUGE-2+StopWordRemoval,FNS31492,31492.TXT,0.27911,0.07514,0.11841,4

ROUGE-SU4+StopWordRemoval,FNS31492,31492.TXT,0.37643,0.10659,0.16614,4

ROUGE-L+StopWordRemoval,FNS32340,32340.TXT,0.41595,0.27027,0.32765,3

ROUGE-1+StopWordRemoval,FNS32340,32340.TXT,0.48700,0.19401,0.27748,3

ROUGE-2+StopWordRemoval,FNS32340,32340.TXT,0.15070,0.05603,0.08169,3

ROUGE-SU4+StopWordRemoval,FNS32340,32340.TXT,0.25393,0.09241,0.13551,3

ROUGE-L+StopWordRemoval,FNS32220,32220.TXT,0.53810,0.24450,0.33623,3

ROUGE-1+StopWordRemoval,FNS32220,32220.TXT,0.52062,0.20544,0.29462,3

ROUGE-2+StopWordRemoval,FNS32220,32220.TXT,0.22484,0.07494,0.11241,3

ROUGE-SU4+StopWordRemoval,FNS32220,32220.TXT,0.31689,0.11226,0.16579,3

ROUGE-L+StopWordRemoval,FNS32583,32583.TXT,0.48824,0.28559,0.36038,3

ROUGE-1+StopWordRemoval,FNS32583,32583.TXT,0.54707,0.18972,0.28174,3

ROUGE-2+StopWordRemoval,FNS32583,32583.TXT,0.24607,0.08217,0.12320,3

ROUGE-SU4+StopWordRemoval,FNS32583,32583.TXT,0.32068,0.11459,0.16885,3

ROUGE-L+StopWordRemoval,FNS30849,30849.TXT,0.53223,0.23669,0.32766,4

ROUGE-1+StopWordRemoval,FNS30849,30849.TXT,0.51313,0.11580,0.18896,4

ROUGE-2+StopWordRemoval,FNS30849,30849.TXT,0.19397,0.03809,0.06367,4

ROUGE-SU4+StopWordRemoval,FNS30849,30849.TXT,0.29547,0.05881,0.09810,4

ROUGE-L+StopWordRemoval,FNS30965,30965.TXT,0.46897,0.23615,0.31412,5

ROUGE-1+StopWordRemoval,FNS30965,30965.TXT,0.52355,0.17272,0.25975,5

ROUGE-2+StopWordRemoval,FNS30965,30965.TXT,0.18233,0.05162,0.08046,5

ROUGE-SU4+StopWordRemoval,FNS30965,30965.TXT,0.29249,0.08311,0.12943,5

ROUGE-L+StopWordRemoval,FNS30966,30966.TXT,0.43003,0.23123,0.30074,3

ROUGE-1+StopWordRemoval,FNS30966,30966.TXT,0.51631,0.18190,0.26902,3

